,Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Sex,Deaths,admissions,Age Group,Addicts(Age Group),Therapy_Cost,Real_Households_Income,Household_Expenditure_Tobacco
7629,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,11094.0,16 and Over,22,44817,192.3,15542.0
7630,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,2900.0,16 and Over,22,44817,192.3,15542.0
7631,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,7248.0,16 and Over,22,44817,192.3,15542.0
7632,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,2500.0,16 and Over,22,44817,192.3,15542.0
7633,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,3846.0,16 and Over,22,44817,192.3,15542.0
7634,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.028455164114252,400.0,16 and Over,22,44817,192.3,15542.0
7636,2006,C16,Stomach,Cancers which can be caused by smoking,Any,8.343077871169383,5700.0,16 and Over,22,44817,192.3,15542.0
7637,2006,C16,Stomach,Cancers which can be caused by smoking,Any,8.343077871169383,18254.0,16 and Over,22,44817,192.3,15542.0
7638,2006,C16,Stomach,Cancers which can be caused by smoking,Any,8.343077871169383,4800.0,16 and Over,22,44817,192.3,15542.0
7639,2006,C16,Stomach,Cancers which can be caused by smoking,Any,8.343077871169383,7500.0,16 and Over,22,44817,192.3,15542.0
7640,2006,C16,Stomach,Cancers which can be caused by smoking,Any,8.343077871169383,900.0,16 and Over,22,44817,192.3,15542.0
7654,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.63433723562832,5500.0,16 and Over,22,44817,192.3,15542.0
7655,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.63433723562832,18290.0,16 and Over,22,44817,192.3,15542.0
7656,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.63433723562832,4200.0,16 and Over,22,44817,192.3,15542.0
7657,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.63433723562832,13195.0,16 and Over,22,44817,192.3,15542.0
7658,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.63433723562832,1300.0,16 and Over,22,44817,192.3,15542.0
7659,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,5476.0,16 and Over,22,44817,192.3,15542.0
7660,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,4700.0,16 and Over,22,44817,192.3,15542.0
7661,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,3095.0,16 and Over,22,44817,192.3,15542.0
7662,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,2800.0,16 and Over,22,44817,192.3,15542.0
7663,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,2381.0,16 and Over,22,44817,192.3,15542.0
7664,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.186901020411631,2000.0,16 and Over,22,44817,192.3,15542.0
7690,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.883069351305753,7100.0,16 and Over,22,44817,192.3,15542.0
7691,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.883069351305753,22885.0,16 and Over,22,44817,192.3,15542.0
7692,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.883069351305753,4100.0,16 and Over,22,44817,192.3,15542.0
7693,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.883069351305753,15181.0,16 and Over,22,44817,192.3,15542.0
7694,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.883069351305753,3000.0,16 and Over,22,44817,192.3,15542.0
7707,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,7751.0,16 and Over,22,44817,192.3,15542.0
7708,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,1800.0,16 and Over,22,44817,192.3,15542.0
7709,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,4840.0,16 and Over,22,44817,192.3,15542.0
7710,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,1400.0,16 and Over,22,44817,192.3,15542.0
7711,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,2911.0,16 and Over,22,44817,192.3,15542.0
7712,2006,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Any,6.507277712385012,400.0,16 and Over,22,44817,192.3,15542.0
7713,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,22270.0,16 and Over,22,44817,192.3,15542.0
7714,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,11400.0,16 and Over,22,44817,192.3,15542.0
7715,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,11457.0,16 and Over,22,44817,192.3,15542.0
7716,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,6200.0,16 and Over,22,44817,192.3,15542.0
7717,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,10813.0,16 and Over,22,44817,192.3,15542.0
7718,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.993282328101591,5200.0,16 and Over,22,44817,192.3,15542.0
7744,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,7.313886831633462,15600.0,16 and Over,22,44817,192.3,15542.0
7746,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,7.313886831633462,7900.0,16 and Over,22,44817,192.3,15542.0
7748,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,7.313886831633462,7600.0,16 and Over,22,44817,192.3,15542.0
7755,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,14884.0,16 and Over,22,44817,192.3,15542.0
7756,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,10000.0,16 and Over,22,44817,192.3,15542.0
7757,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,10419.0,16 and Over,22,44817,192.3,15542.0
7758,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,7700.0,16 and Over,22,44817,192.3,15542.0
7759,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,4465.0,16 and Over,22,44817,192.3,15542.0
7760,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,6.90875477931522,2300.0,16 and Over,22,44817,192.3,15542.0
7761,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,4522.0,16 and Over,22,44817,192.3,15542.0
7762,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3700.0,16 and Over,22,44817,192.3,15542.0
7763,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3774.0,16 and Over,22,44817,192.3,15542.0
7764,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3100.0,16 and Over,22,44817,192.3,15542.0
7765,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,748.0,16 and Over,22,44817,192.3,15542.0
7766,2006,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,600.0,16 and Over,22,44817,192.3,15542.0
7770,2006,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,17500.0,16 and Over,22,44817,192.3,15542.0
7771,2006,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,9567.0,16 and Over,22,44817,192.3,15542.0
7772,2006,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,6000.0,16 and Over,22,44817,192.3,15542.0
7783,2006,C67,Bladder,Cancers which can be caused by smoking,Any,7.3783837129967145,19140.0,16 and Over,22,44817,192.3,15542.0
7784,2006,C67,Bladder,Cancers which can be caused by smoking,Any,7.3783837129967145,5800.0,16 and Over,22,44817,192.3,15542.0
7785,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,11094.0,16 and Over,22,44817,192.3,15542.0
7786,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,2900.0,16 and Over,22,44817,192.3,15542.0
7787,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,7248.0,16 and Over,22,44817,192.3,15542.0
7788,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,2500.0,16 and Over,22,44817,192.3,15542.0
7789,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,3846.0,16 and Over,22,44817,192.3,15542.0
7790,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,400.0,16 and Over,22,44817,192.3,15542.0
7792,2006,C16,Stomach,Cancers which can be caused by smoking,Any,6.803505257608338,5700.0,16 and Over,22,44817,192.3,15542.0
7793,2006,C16,Stomach,Cancers which can be caused by smoking,Any,6.803505257608338,18254.0,16 and Over,22,44817,192.3,15542.0
7794,2006,C16,Stomach,Cancers which can be caused by smoking,Any,6.803505257608338,4800.0,16 and Over,22,44817,192.3,15542.0
7795,2006,C16,Stomach,Cancers which can be caused by smoking,Any,6.803505257608338,7500.0,16 and Over,22,44817,192.3,15542.0
7796,2006,C16,Stomach,Cancers which can be caused by smoking,Any,6.803505257608338,900.0,16 and Over,22,44817,192.3,15542.0
7797,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,21488.0,16 and Over,22,44817,192.3,15542.0
7798,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,5400.0,16 and Over,22,44817,192.3,15542.0
7799,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,11294.0,16 and Over,22,44817,192.3,15542.0
7800,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,2700.0,16 and Over,22,44817,192.3,15542.0
7801,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,10194.0,16 and Over,22,44817,192.3,15542.0
7802,2006,C25,Pancreas,Cancers which can be caused by smoking,Any,7.3783837129967145,2700.0,16 and Over,22,44817,192.3,15542.0
7803,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,12169.0,16 and Over,22,44817,192.3,15542.0
7804,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,4400.0,16 and Over,22,44817,192.3,15542.0
7805,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,5286.0,16 and Over,22,44817,192.3,15542.0
7806,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,2900.0,16 and Over,22,44817,192.3,15542.0
7807,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,6883.0,16 and Over,22,44817,192.3,15542.0
7808,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.188966863648876,1600.0,16 and Over,22,44817,192.3,15542.0
7815,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,5476.0,16 and Over,22,44817,192.3,15542.0
7816,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,4700.0,16 and Over,22,44817,192.3,15542.0
7817,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,3095.0,16 and Over,22,44817,192.3,15542.0
7818,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,2800.0,16 and Over,22,44817,192.3,15542.0
7819,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,2381.0,16 and Over,22,44817,192.3,15542.0
7820,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.00397413672268,2000.0,16 and Over,22,44817,192.3,15542.0
7836,2006,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,22700.0,16 and Over,22,44817,192.3,15542.0
7838,2006,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,11500.0,16 and Over,22,44817,192.3,15542.0
7846,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,6.2166061010848646,7100.0,16 and Over,22,44817,192.3,15542.0
7847,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,6.2166061010848646,22885.0,16 and Over,22,44817,192.3,15542.0
7848,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,6.2166061010848646,4100.0,16 and Over,22,44817,192.3,15542.0
7849,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,6.2166061010848646,15181.0,16 and Over,22,44817,192.3,15542.0
7850,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,6.2166061010848646,3000.0,16 and Over,22,44817,192.3,15542.0
7852,2006,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,8.188966863648876,14900.0,16 and Over,22,44817,192.3,15542.0
7854,2006,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,8.188966863648876,8500.0,16 and Over,22,44817,192.3,15542.0
7856,2006,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,8.188966863648876,6500.0,16 and Over,22,44817,192.3,15542.0
7857,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,11620.0,16 and Over,22,44817,192.3,15542.0
7858,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,7200.0,16 and Over,22,44817,192.3,15542.0
7859,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,8796.0,16 and Over,22,44817,192.3,15542.0
7860,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,5600.0,16 and Over,22,44817,192.3,15542.0
7861,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,2824.0,16 and Over,22,44817,192.3,15542.0
7862,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.412054873292933,1600.0,16 and Over,22,44817,192.3,15542.0
7869,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,22270.0,16 and Over,22,44817,192.3,15542.0
7870,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,11400.0,16 and Over,22,44817,192.3,15542.0
7871,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,11457.0,16 and Over,22,44817,192.3,15542.0
7872,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,6200.0,16 and Over,22,44817,192.3,15542.0
7873,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,10813.0,16 and Over,22,44817,192.3,15542.0
7874,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.313886831633462,5200.0,16 and Over,22,44817,192.3,15542.0
7914,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,14884.0,16 and Over,23,44817,192.3,15542.0
7915,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,10000.0,16 and Over,23,44817,192.3,15542.0
7916,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,10419.0,16 and Over,23,44817,192.3,15542.0
7917,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,7700.0,16 and Over,23,44817,192.3,15542.0
7918,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,4465.0,16 and Over,23,44817,192.3,15542.0
7919,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.894670039433482,2300.0,16 and Over,23,44817,192.3,15542.0
7920,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,4522.0,16 and Over,23,44817,192.3,15542.0
7921,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,3700.0,16 and Over,23,44817,192.3,15542.0
7922,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,3774.0,16 and Over,23,44817,192.3,15542.0
7923,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,3100.0,16 and Over,23,44817,192.3,15542.0
7924,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,748.0,16 and Over,23,44817,192.3,15542.0
7925,2006,C32,Larynx,Cancers which can be caused by smoking,Male,6.1903154058531475,600.0,16 and Over,23,44817,192.3,15542.0
7929,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.289288323000317,17500.0,16 and Over,23,44817,192.3,15542.0
7930,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.289288323000317,9567.0,16 and Over,23,44817,192.3,15542.0
7931,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.289288323000317,6000.0,16 and Over,23,44817,192.3,15542.0
7942,2006,C67,Bladder,Cancers which can be caused by smoking,Male,7.890582534656536,19140.0,16 and Over,23,44817,192.3,15542.0
7943,2006,C67,Bladder,Cancers which can be caused by smoking,Male,7.890582534656536,5800.0,16 and Over,23,44817,192.3,15542.0
7944,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,11094.0,16 and Over,23,44817,192.3,15542.0
7945,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,2900.0,16 and Over,23,44817,192.3,15542.0
7946,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,7248.0,16 and Over,23,44817,192.3,15542.0
7947,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,2500.0,16 and Over,23,44817,192.3,15542.0
7948,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,3846.0,16 and Over,23,44817,192.3,15542.0
7949,2006,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.562161631225652,400.0,16 and Over,23,44817,192.3,15542.0
7951,2006,C16,Stomach,Cancers which can be caused by smoking,Male,7.8655717576847906,5700.0,16 and Over,23,44817,192.3,15542.0
7952,2006,C16,Stomach,Cancers which can be caused by smoking,Male,7.8655717576847906,18254.0,16 and Over,23,44817,192.3,15542.0
7953,2006,C16,Stomach,Cancers which can be caused by smoking,Male,7.8655717576847906,4800.0,16 and Over,23,44817,192.3,15542.0
7954,2006,C16,Stomach,Cancers which can be caused by smoking,Male,7.8655717576847906,7500.0,16 and Over,23,44817,192.3,15542.0
7955,2006,C16,Stomach,Cancers which can be caused by smoking,Male,7.8655717576847906,900.0,16 and Over,23,44817,192.3,15542.0
7956,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,21488.0,16 and Over,23,44817,192.3,15542.0
7957,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,5400.0,16 and Over,23,44817,192.3,15542.0
7958,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,11294.0,16 and Over,23,44817,192.3,15542.0
7959,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,2700.0,16 and Over,23,44817,192.3,15542.0
7960,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,10194.0,16 and Over,23,44817,192.3,15542.0
7961,2006,C25,Pancreas,Cancers which can be caused by smoking,Male,8.024207485778577,2700.0,16 and Over,23,44817,192.3,15542.0
7962,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,12169.0,16 and Over,23,44817,192.3,15542.0
7963,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,4400.0,16 and Over,23,44817,192.3,15542.0
7964,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,5286.0,16 and Over,23,44817,192.3,15542.0
7965,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,2900.0,16 and Over,23,44817,192.3,15542.0
7966,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,6883.0,16 and Over,23,44817,192.3,15542.0
7967,2006,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.412054873292933,1600.0,16 and Over,23,44817,192.3,15542.0
7969,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.0630481633881725,5500.0,16 and Over,23,44817,192.3,15542.0
7970,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.0630481633881725,18290.0,16 and Over,23,44817,192.3,15542.0
7971,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.0630481633881725,4200.0,16 and Over,23,44817,192.3,15542.0
7972,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.0630481633881725,13195.0,16 and Over,23,44817,192.3,15542.0
7973,2006,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.0630481633881725,1300.0,16 and Over,23,44817,192.3,15542.0
7974,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,5476.0,16 and Over,23,44817,192.3,15542.0
7975,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,4700.0,16 and Over,23,44817,192.3,15542.0
7976,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,3095.0,16 and Over,23,44817,192.3,15542.0
7977,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,2800.0,16 and Over,23,44817,192.3,15542.0
7978,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,2381.0,16 and Over,23,44817,192.3,15542.0
7979,2006,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.736966958001855,2000.0,16 and Over,23,44817,192.3,15542.0
8005,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,7.053585727193677,7100.0,16 and Over,23,44817,192.3,15542.0
8006,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,7.053585727193677,22885.0,16 and Over,23,44817,192.3,15542.0
8007,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,7.053585727193677,4100.0,16 and Over,23,44817,192.3,15542.0
8008,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,7.053585727193677,15181.0,16 and Over,23,44817,192.3,15542.0
8009,2006,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,7.053585727193677,3000.0,16 and Over,23,44817,192.3,15542.0
8016,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,11620.0,16 and Over,23,44817,192.3,15542.0
8017,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,7200.0,16 and Over,23,44817,192.3,15542.0
8018,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,8796.0,16 and Over,23,44817,192.3,15542.0
8019,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,5600.0,16 and Over,23,44817,192.3,15542.0
8020,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,2824.0,16 and Over,23,44817,192.3,15542.0
8021,2006,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.394347361417392,1600.0,16 and Over,23,44817,192.3,15542.0
8028,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,22270.0,16 and Over,23,44817,192.3,15542.0
8029,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,11400.0,16 and Over,23,44817,192.3,15542.0
8030,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,11457.0,16 and Over,23,44817,192.3,15542.0
8031,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,6200.0,16 and Over,23,44817,192.3,15542.0
8032,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,10813.0,16 and Over,23,44817,192.3,15542.0
8033,2006,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,7.277938572945661,5200.0,16 and Over,23,44817,192.3,15542.0
8059,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.68586094706836,15600.0,16 and Over,23,44817,192.3,15542.0
8061,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.68586094706836,7900.0,16 and Over,23,44817,192.3,15542.0
8063,2006,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.68586094706836,7600.0,16 and Over,23,44817,192.3,15542.0
8070,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,14884.0,16 and Over,23,44817,192.3,15542.0
8071,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,10000.0,16 and Over,23,44817,192.3,15542.0
8072,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,10419.0,16 and Over,23,44817,192.3,15542.0
8073,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,7700.0,16 and Over,23,44817,192.3,15542.0
8074,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,4465.0,16 and Over,23,44817,192.3,15542.0
8075,2006,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,6.55250788703459,2300.0,16 and Over,23,44817,192.3,15542.0
8085,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,7.937731775260109,17500.0,16 and Over,23,44817,192.3,15542.0
8086,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,7.937731775260109,9567.0,16 and Over,23,44817,192.3,15542.0
8087,2006,C15,Oesophagus,Cancers which can be caused by smoking,Male,7.937731775260109,6000.0,16 and Over,23,44817,192.3,15542.0
